Age,Age_Group,Gender,MaritalStatus,Education_Level,Department,JobRole,Job_Satisfaction_Level,Work_Life_Balance_Level,MonthlyIncome,OverTime,OverTime_Flag,YearsAtCompany,Tenure_Group,Attrition,Attrition_Flag,BusinessTravel,DistanceFromHome,Commute_Distance,High_Risk,Long_Without_Promo,Stock_Option_Level,Performance_Rating_Level,EmployeeNumber,EducationField
41,36-45,Female,Single,College,Sales,Sales Executive,Very High,Low,5993,Yes,1,6,5-10 years,Yes,1,Travel_Rarely,1,Near,1,0,,Good,1,Life Sciences
49,46-55,Male,Married,Below College,Research & Development,Research Scientist,Medium,High,5130,No,0,10,5-10 years,No,0,Travel_Frequently,8,Far,1,0,Low,Outstanding,2,Life Sciences
37,36-45,Male,Single,College,Research & Development,Laboratory Technician,High,High,2090,Yes,1,0,,Yes,1,Travel_Rarely,2,Near,0,0,,Good,4,Other
33,26-35,Female,Married,Master,Research & Development,Research Scientist,High,High,2909,Yes,1,8,5-10 years,No,0,Travel_Frequently,3,Moderate,0,1,,Good,5,Life Sciences
27,26-35,Male,Married,Below College,Research & Development,Laboratory Technician,Medium,High,3468,No,0,2,0-2 years,No,0,Travel_Rarely,2,Near,1,0,Low,Good,7,Medical
32,26-35,Male,Single,College,Research & Development,Laboratory Technician,Very High,Medium,3068,No,0,7,5-10 years,No,0,Travel_Frequently,2,Near,1,1,,Good,8,Life Sciences
59,56-65,Female,Married,Bachelor,Research & Development,Laboratory Technician,Low,Medium,2670,Yes,1,1,0-2 years,No,0,Travel_Rarely,3,Moderate,1,0,High,Outstanding,10,Medical
30,26-35,Male,Divorced,Below College,Research & Development,Laboratory Technician,High,High,2693,No,0,1,0-2 years,No,0,Travel_Rarely,24,Very Far,0,0,Low,Outstanding,11,Life Sciences
38,36-45,Male,Single,Bachelor,Research & Development,Manufacturing Director,High,High,9526,No,0,9,5-10 years,No,0,Travel_Frequently,23,Very Far,0,0,,Outstanding,12,Life Sciences
36,36-45,Male,Married,Bachelor,Research & Development,Healthcare Representative,High,Medium,5237,No,0,7,5-10 years,No,0,Travel_Rarely,27,Very Far,1,1,Medium,Good,13,Medical
